date,y_gap,pi,ffr
1976 Q3,-1.997230041,5.138964318028094,5.283333333333333
1976 Q4,-2.035236284,7.106751762241004,4.873333333333333
1977 Q1,-1.646889505,6.379171728481836,4.66
1977 Q2,-0.537764183,5.606349924994092,5.156666666666666
1977 Q3,0.435056663,4.83871679142851,5.82
1977 Q4,-0.39655109,8.554851683936882,6.513333333333333
1978 Q1,-0.920079314,5.767836660234771,6.756666666666667
1978 Q2,2.03351834,7.579457239830312,7.283333333333333
1978 Q3,2.168632399,6.736571572149153,8.1
1978 Q4,2.635874158,8.097991357440648,9.583333333333334
1979 Q1,1.895654264,7.2274056183259106,10.073333333333334
1979 Q2,1.124984964,9.680219954872982,10.18
1979 Q3,1.052526544,8.653172854255686,10.946666666666667
1979 Q4,0.554529699,7.353786293353792,13.576666666666666
1980 Q1,0.207549415,8.317236636836256,15.046666666666667
1980 Q2,-2.41171683,9.404120759715262,12.686666666666667
1980 Q3,-2.9909132,8.836262167366371,9.836666666666666
1980 Q4,-1.673370677,10.285486772161967,15.853333333333333
1981 Q1,-0.067540663,10.400247275223329,16.57
1981 Q2,-1.428590733,7.848951599123843,17.78
1981 Q3,-0.911800315,7.458991095572642,17.576666666666668
1981 Q4,-2.680481181,6.852884322763408,13.586666666666666
1982 Q1,-4.892959564,5.464970426007376,14.226666666666667
1982 Q2,-5.173533073,5.162618845410094,14.513333333333334
1982 Q3,-6.255185222,5.63506496431998,11.006666666666666
1982 Q4,-6.944728256,4.125438428158645,9.286666666666667
1983 Q1,-6.440672742,3.011006048734366,8.653333333333332
1983 Q2,-5.056253825,2.9546746674276037,8.803333333333335
1983 Q3,-3.928460887,4.232487556755693,9.459999999999999
1983 Q4,-2.727589944,3.018567587600174,9.43
1984 Q1,-1.664807595,4.033508710233846,9.686666666666667
1984 Q2,-0.83439385,3.406575751724894,10.556666666666667
1984 Q3,-0.761190304,3.5394868986172057,11.39
1984 Q4,-0.836166373,2.979319675853098,9.266666666666667
1985 Q1,-0.761852198,3.935570340117245,8.476666666666667
1985 Q2,-0.768339079,2.5655325893147563,7.923333333333333
1985 Q3,-0.1292927,2.40798665475328,7.9
1985 Q4,-0.247206208,2.229769203928811,8.1033333333333335
1986 Q1,-0.160549393,1.9845750048105515,7.826666666666667
1986 Q2,-0.536485816,1.511000121108097,6.92
1986 Q3,-0.39976789,1.6362782103634288,6.206666666666666
1986 Q4,-0.675136211,2.173897520321688,6.266666666666667
1987 Q1,-0.739338734,2.5505517775748388,6.22
1987 Q2,-0.463757531,2.761247452870208,6.65
1987 Q3,-0.388901051,3.02001905280882,6.843333333333334
1987 Q4,0.526385093,3.1760729588281578,6.916666666666667
1988 Q1,0.260709549,3.1215113416404705,6.663333333333333
1988 Q2,0.788916992,3.8734282190416636,7.156666666666666
1988 Q3,0.595466696,4.755295675418125,7.983333333333333
1988 Q4,1.148309297,3.440169462278675,8.47
1989 Q1,1.390846055,4.149104195814601,9.443333333333333
1989 Q2,1.384260865,4.239861214517759,9.726666666666667
1989 Q3,1.360506833,2.9086460734951913,9.083333333333334
1989 Q4,0.799071971,2.839229920829922,8.613333333333333
1990 Q1,1.150080377,4.293274556782833,8.25
1990 Q2,0.786681652,4.457534113705108,8.243333333333332
1990 Q3,0.151340315,3.409839039023055,8.16
1990 Q4,-1.428555722,2.9682752826222014,7.743333333333333
1991 Q1,-2.530909498,3.8973613597853785,6.426666666666667
1991 Q2,-2.39294535,2.9244940549681075,5.863333333333333
1991 Q3,-2.506930955,3.1177290259158497,5.6433333333333335
1991 Q4,-2.769689491,2.36443678980649,4.816666666666666
1992 Q1,-2.208087167,1.4827725453734786,4.023333333333333
1992 Q2,-1.75650141,2.3994426219172027,3.77
1992 Q3,-1.405061239,1.9525306763476635,3.256666666666667
1992 Q4,-1.004929059,2.7403884719394256,3.0366666666666666
1993 Q1,-1.468797882,2.2379708658107234,3.04
1993 Q2,-1.538469328,2.3755309370194766,3
1993 Q3,-1.715487258,2.3677188001833827,3.06
1993 Q4,-1.036088599,2.174642335922883,2.99
1994 Q1,-0.740689744,1.9108414746430213,3.2133333333333334
1994 Q2,-0.067659788,1.9262363733002275,3.94
1994 Q3,-0.166027087,2.288353215601191,4.486666666666666
1994 Q4,0.284422572,2.160363288299294,5.166666666666667
1995 Q1,-0.052428867,2.166816570277774,5.8100000000000005
1995 Q2,-0.453527765,1.915588807750268,6.02
1995 Q3,-0.309658711,1.9660757736112089,5.796666666666667
1995 Q4,-0.348895906,1.9208648080613955,5.72
1996 Q1,-0.330059435,1.9175889355235398,5.363333333333333
1996 Q2,0.558124581,1.6556827174273536,5.243333333333333
1996 Q3,0.636376645,1.3090803368857706,5.306666666666667
1996 Q4,0.808495159,2.127633499685899,5.28
1997 Q1,0.545129576,2.3830352378489295,5.276666666666666
1997 Q2,1.262914835,0.7931284122850712,5.523333333333333
1997 Q3,1.531091128,1.7428215645651335,5.533333333333333
1997 Q4,1.377668097,1.3279785694024326,5.506666666666667
1998 Q1,1.353992024,0.5677868025308896,5.52
1998 Q2,1.230969045,0.9445239911389791,5.5
1998 Q3,1.434356034,1.6888495569116202,5.533333333333333
1998 Q4,1.979535055,1.1257363088862604,4.86
1999 Q1,1.8420965,1.298049107382937,4.733333333333333
1999 Q2,1.596705499,1.5081461900194881,4.746666666666667
1999 Q3,1.844066286,1.412603737561824,5.093333333333334
1999 Q4,2.40275086,2.2129682832158437,5.306666666666667
2000 Q1,1.671123622,2.6506020452142565,5.676666666666667
2000 Q2,2.451753309,2.484256659058204,6.273333333333333
2000 Q3,1.54921546,2.331855033774133,6.52
2000 Q4,1.212313615,2.1492931852829855,6.473333333333334
2001 Q1,0.005027363,2.6366134917193307,5.593333333333334
2001 Q2,-0.18741485,2.3985810081818215,4.326666666666666
2001 Q3,-1.340985134,1.5696413196735648,3.4966666666666666
2001 Q4,-1.773387142,1.2534325623136056,2.1333333333333333
2002 Q1,-1.615039377,1.2548485451375768,1.7333333333333334
2002 Q2,-1.646591849,1.394397218243526,1.75
2002 Q3,-1.862356841,1.913359374759338,1.74
2002 Q4,-2.341610339,2.3145070145019986,1.4433333333333334
2003 Q1,-2.424344845,1.9508396584395626,1.25
2003 Q2,-2.159572132,1.4047837091418103,1.2466666666666666
2003 Q3,-1.135894038,2.282022316980914,1.0166666666666666
2003 Q4,-0.60005517,2.428822510820794,0.9966666666666667
2004 Q1,-0.655848446,2.844100487627088,1.0033333333333334
2004 Q2,-0.510557512,3.214955816811127,1.01
2004 Q3,-0.202620989,2.529284801363829,1.4333333333333333
2004 Q4,0.175796552,3.089245119725703,1.95
2005 Q1,0.662868642,3.1847262310709112,2.4699999999999998
2005 Q2,0.560905197,2.868885028911805,2.9433333333333334
2005 Q3,0.766796365,3.630679425430472,3.46
2005 Q4,0.76514609,3.273583502298294,3.98
2006 Q1,1.578856789,2.823932997076639,4.456666666666667
2006 Q2,1.31965946,3.4770750202692824,4.906666666666667
2006 Q3,0.97827949,2.7846860313815114,5.246666666666667
2006 Q4,1.380457478,1.427576882527859,5.246666666666667
2007 Q1,1.21010677,3.7852653534059755,5.256666666666667
2007 Q2,1.336866345,2.7715296589740035,5.25
2007 Q3,1.413174502,2.180396920357097,5.073333333333333
2007 Q4,1.542408265,1.6171876781001515,4.496666666666667
2008 Q1,0.60426164,1.4778454977605548,3.1766666666666667
2008 Q2,0.709055378,1.9331325863952031,2.0866666666666664
2008 Q3,-0.292546447,3.0022226018491693,1.94
2008 Q4,-2.911279841,0.9671665390339257,0.5066666666666667
2009 Q1,-4.410107438,-0.31610559571468855,0.18333333333333332
2009 Q2,-4.950654792,-0.6646359878637043,0.18
2009 Q3,-4.963453877,0.4748526536062059,0.15666666666666668
2009 Q4,-4.273499715,1.2635247022128482,0.12
2010 Q1,-4.147861438,1.1472476751031024,0.13333333333333333
2010 Q2,-3.565061852,1.9495072397976543,0.19333333333333333
2010 Q3,-3.180246632,1.2141917879347375,0.18666666666666668
2010 Q4,-3.039222854,2.3154719753801345,0.18666666666666668
2011 Q1,-3.643949022,2.0421062089766906,0.15666666666666668
2011 Q2,-3.376866958,2.636618866798912,0.09333333333333334
2011 Q3,-3.791945377,2.4017277207693866,0.08333333333333334
2011 Q4,-3.114758145,0.474271380095459,0.07333333333333333
2012 Q1,-2.714322425,2.341343197789314,0.10333333333333333
2012 Q2,-2.701697958,1.6480458189811031,0.15333333333333335
2012 Q3,-2.988067106,2.1897394803044534,0.14333333333333334
2012 Q4,-3.306761941,1.9989150097362796,0.16
2013 Q1,-2.794566833,1.586029727117122,0.14333333333333334
2013 Q2,-2.979301156,0.8605390164017734,0.11666666666666667
2013 Q3,-2.601752842,1.9558082104801144,0.08333333333333333
2013 Q4,-2.208191985,2.1098026322892593,0.08666666666666667
2014 Q1,-3.000862864,1.5145352640704601,0.07333333333333333
2014 Q2,-2.211028239,2.2569522395443187,0.09333333333333334
2014 Q3,-1.497776592,1.64097694095382,0.09
2014 Q4,-1.479021213,0.3968008261413303,0.09999999999999999
2015 Q1,-1.076720162,-0.2190184515772131,0.11
2015 Q2,-0.953520543,2.291679375277056,0.12333333333333334
2015 Q3,-1.046544699,1.0589617694012787,0.1366666666666667
2015 Q4,-1.351206796,-0.008198233280864997,0.16
2016 Q1,-1.265363926,-0.3485803262478271,0.36
2016 Q2,-1.432511457,2.7109045521999775,0.37333333333333335
2016 Q3,-1.215198035,1.0215248036772095,0.39666666666666667
2016 Q4,-1.145316285,1.9300986276817866,0.45
2017 Q1,-1.140912668,2.0335333999263128,0.7000000000000001
2017 Q2,-1.065998656,1.045016671555743,0.9500000000000001
2017 Q3,-0.775702627,2.04993141789771,1.1533333333333333
